PassengerId,Survived,Pclass,Sex,Age,Cabin,Hometown,Destination
44,1.0,2,female,3.0,C23 C25 C27,"Paris, France","Cap-Haïtien, Haiti"
45,1.0,3,female,19.0,C23 C25 C27,"Kilmacowen, Sligo, Ireland",New York City
46,0.0,3,male,28.0,C23 C25 C27,"Pontardawe, West Glamorgan, Wales",New York City
47,0.0,3,male,28.0,C23 C25 C27,"Ballymahon, Longford, Ireland",New York City
48,1.0,3,female,28.0,C23 C25 C27,"Ballydehob, Cork, Ireland","Jersey City, New Jersey, US"
49,0.0,3,male,28.0,C23 C25 C27,"Hardîne, Lebanon","Wilkes-Barre, Pennsylvania, US"
50,0.0,3,female,18.0,C23 C25 C27,"Altdorf, Uri, Switzerland","New Glarus, Wisconsin, US"
51,0.0,3,male,7.0,C23 C25 C27,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US"
52,0.0,3,male,21.0,C23 C25 C27,"Newton Abbot, Devon, England","Buffalo, New York, US"
53,1.0,1,female,49.0,D33,"New York, New York, US","New York, New York, US"
54,1.0,2,female,29.0,C23 C25 C27,"Manchester, England","Philadelphia, Pennsylvania, US"
55,0.0,1,male,65.0,B30,"Providence, Rhode Island, US","Providence, Rhode Island, US"
56,1.0,1,male,28.0,C52,"London, England, UK","New York, New York, US"
57,1.0,2,female,21.0,C23 C25 C27,"Guernsey, Channel Islands","Wilmington, Delaware, US"
58,0.0,3,male,28.5,C23 C25 C27,"Kafr Mishki, Lebanon","Ottawa, Ontario, Canada"
59,1.0,2,female,5.0,C23 C25 C27,"Bournemouth, Dorset, England","Gainesville, Florida, US"
60,0.0,3,male,11.0,C23 C25 C27,"Fulham, England","Niagara Falls, New York, US"
61,0.0,3,male,22.0,C23 C25 C27,"Kiğı, Turkey","Brantford, Ontario, Canada"
62,1.0,1,female,38.0,B28,"New York, New York, US","New York, New York, US"
63,0.0,1,male,45.0,C83,"New York, New York, US","New York, New York, US"
64,0.0,3,male,4.0,C23 C25 C27,"Hällekis, Västergötland, Sweden","Iron Mountain, Michigan, US"
65,0.0,1,male,28.0,C23 C25 C27,"Cincinnati, Ohio, US","Gallipolis, Ohio, US"
66,1.0,3,male,28.0,C23 C25 C27,"Hardîne, Lebanon","Houtzdale, Pennsylvania, US"
67,1.0,2,female,29.0,F33,"East Orange, New Jersey, US","East Orange, New Jersey, US"
68,0.0,3,male,19.0,C23 C25 C27,"Bristol, Avon, England","Cleveland, Ohio, US"
69,1.0,3,female,17.0,C23 C25 C27,"Kullaa, Finland",New York City
70,0.0,3,male,26.0,C23 C25 C27,"Zürich, Switzerland","Milwaukee, Wisconsin, US"
71,0.0,2,male,32.0,C23 C25 C27,"St. Ives, Cornwall, England","Houghton, Michigan, US"
72,0.0,3,female,16.0,C23 C25 C27,"Fulham, England","Niagara Falls, New York, US"
73,0.0,2,male,21.0,C23 C25 C27,"Fritham, Hampshire, England","Manitoba, Canada"
74,0.0,3,male,26.0,C23 C25 C27,"Agios Sostis, Peloponnese, Greece",New York City
75,1.0,3,male,32.0,C23 C25 C27,"Hong Kong, China",New York City
76,0.0,3,male,25.0,F G73,"Bergen, Norway","Minneapolis, Minnesota, US"
77,0.0,3,male,28.0,C23 C25 C27,"Debnevo, Troyan, Bulgaria","Chicago, Illinois, US"
78,0.0,3,male,28.0,C23 C25 C27,"London, England",New York City
79,1.0,2,male,0.83,C23 C25 C27,"Bangkok, Siam","Roseville, Illinois, US"
80,1.0,3,female,30.0,C23 C25 C27,"New York City, New York, US",New York City
81,0.0,3,male,22.0,C23 C25 C27,"Ruiselede, West Flanders, Belgium","Stanton, Ohio, US"
82,1.0,3,male,29.0,C23 C25 C27,"Haaltert, East Flanders, Belgium","Detroit, Michigan, US"
83,1.0,3,female,28.0,C23 C25 C27,"Lahardane, Mayo, Ireland","Chicago, Illinois, US"
84,0.0,1,male,28.0,C23 C25 C27,"Montevideo, Uruguay","Montevideo, Uruguay"
85,1.0,2,female,17.0,C23 C25 C27,"Jersey, Channel Islands","Atlanta, Georgia, US"
86,1.0,3,female,33.0,C23 C25 C27,"Kotka, Finland",New York City
87,0.0,3,male,16.0,C23 C25 C27,"Rotherfield, East Sussex, England","Essex County, New Jersey, US"
88,0.0,3,male,28.0,C23 C25 C27,"London, England",New York City
89,1.0,1,female,23.0,C23 C25 C27,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada"
90,0.0,3,male,24.0,C23 C25 C27,"Milan[83], Italy",New York City
91,0.0,3,male,29.0,C23 C25 C27,"London, England",New York City
92,0.0,3,male,20.0,C23 C25 C27,"Kalfsnäs, Småland, Sweden","Chicago, Illinois, US"
93,0.0,1,male,46.0,E31,"Amenia, North Dakota, US","Amenia, North Dakota, US"
94,0.0,3,male,26.0,C23 C25 C27,"Bartley Farm, Hampshire, England","Wichita, Kansas, US"
95,0.0,3,male,59.0,C23 C25 C27,"London, England","Merrill, Wisconsin, US"
96,0.0,3,male,28.0,C23 C25 C27,"Heron's Ghyll, East Sussex, England","New York, US"
97,0.0,1,male,71.0,A5,"New York, New York, US","New York, New York, US"
98,1.0,1,male,23.0,D10 D12,"New York, New York, US","New York, New York, US"
99,1.0,2,female,34.0,C23 C25 C27,"Southampton, Hampshire, England, UK",New York City
100,0.0,2,male,34.0,C23 C25 C27,"Vitebsk, Russian Empire","Bronx, New York, US"
101,0.0,3,female,28.0,C23 C25 C27,"Vagovina, Croatia","Harrisburg, Pennsylvania, US"
102,0.0,3,male,28.0,C23 C25 C27,"Belish, Troyan, Bulgaria","Chicago, Illinois, US"
103,0.0,1,male,21.0,D26,"Brunswick, Maine, US","Brunswick, Maine, US"
104,0.0,3,male,33.0,C23 C25 C27,"Bäckebo, Småland, Sweden","Cheyenne, North Dakota, US"
105,0.0,3,male,37.0,C23 C25 C27,"Ruotsinpyhtää, Finland",New York City
106,0.0,3,male,28.0,C23 C25 C27,"Gumostnik, Lovec, Bulgaria","Chicago, Illinois, US"
107,1.0,3,female,21.0,C23 C25 C27,"Ålesund, Møre og Romsdal, Norway","Proctor, Minnesota, US"
108,1.0,3,male,28.0,C23 C25 C27,"Bergen, Norway",New York City
109,0.0,3,male,38.0,C23 C25 C27,"Bosanska Krupa, Bosnia","Harrisburg, Pennsylvania, US"
110,1.0,3,female,28.0,C23 C25 C27,"Askeaton, Limerick, Ireland","Brooklyn, New York, US"
111,0.0,1,male,47.0,C110,"Worcester, Massachusetts, US","Worcester, Massachusetts, US"
112,0.0,3,female,14.5,C23 C25 C27,"Unknown, Syria",New York City
113,0.0,3,male,22.0,C23 C25 C27,"Cambridge, Cambridgeshire, England",New York City
114,0.0,3,female,20.0,C23 C25 C27,"Paavola, Northern Ostrobothnia, Finland",New York City
115,0.0,3,female,17.0,C23 C25 C27,"Beirut, Lebanon",New York City
116,0.0,3,male,21.0,C23 C25 C27,"Heinola, Finland",New York City
117,0.0,3,male,70.5,C23 C25 C27,"Charleville, Cork, Ireland",New York City
118,0.0,2,male,29.0,C23 C25 C27,"Plymouth, Devon, England","Salt Lake City, Utah, US"
119,0.0,1,male,24.0,B58 B60,"Montreal, Quebec, Canada","Montreal, Quebec, Canada"
120,0.0,3,female,2.0,C23 C25 C27,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada"
121,0.0,2,male,21.0,C23 C25 C27,"Fritham, Hampshire, England","The Pas, Manitoba, Canada"
122,0.0,3,male,28.0,C23 C25 C27,"Kingston upon Thames, London, England","Hoboken, New Jersey, US"
123,0.0,2,male,32.5,C23 C25 C27,"Zahlé, Lebanon, Ottoman Empire[note 7]","Cleveland, Ohio, US"
124,1.0,2,female,32.5,E101,"Bude, Cornwall, England","Hartford, Connecticut, US"
125,0.0,1,male,54.0,D26,"Brunswick, Maine, US","Brunswick, Maine, US"
126,1.0,3,male,12.0,C23 C25 C27,"El-Hakour, Lebanon","Jacksonville, Florida, US"
127,0.0,3,male,28.0,C23 C25 C27,"Craghbrien, Clare, Ireland",New York City
128,1.0,3,male,24.0,C23 C25 C27,"Trondheim, Norway","Brooklyn, New York, US"
129,1.0,3,female,28.0,F E69,"Sar'al, Syria[81]","Detroit, Michigan, US"
130,0.0,3,male,45.0,C23 C25 C27,"Effington Rut, South Dakota, US","Effington Rut, South Dakota, US"
131,0.0,3,male,33.0,C23 C25 C27,"Hrastelnica, Croatia",New York City
132,0.0,3,male,20.0,C23 C25 C27,"Funchal, Madeira Islands, Portugal",New York City
133,0.0,3,female,47.0,C23 C25 C27,"St Austell, Cornwall, England","Yonkers, New York, US"
134,1.0,2,female,29.0,C23 C25 C27,"Bromsgrove, Worcestershire, England","Montreal, Quebec, Canada"
135,0.0,2,male,25.0,C23 C25 C27,"Porthallow, Cornwall, England","Houghton, Michigan, US"
136,0.0,2,male,23.0,C23 C25 C27,"Paris, France","Montreal, Quebec, Canada"
137,1.0,1,female,19.0,D47,"New York, New York, US","New York, New York, US"
138,0.0,1,male,37.0,C123,"Scituate, Massachusetts, US","Scituate, Massachusetts, US"
139,0.0,3,male,16.0,C23 C25 C27,"Hedesunda, Gävleborg, Sweden","Mitchell, South Dakota, US"
140,0.0,1,male,24.0,B86,"Paris, France","New York, New York, US"
141,0.0,3,female,28.0,C23 C25 C27,"Unknown, Lebanon","Kent, British Columbia, Canada"
142,1.0,3,female,22.0,C23 C25 C27,"Kisa, Östergötland, Sweden","Hackensack, New Jersey, US"
143,1.0,3,female,24.0,C23 C25 C27,"Helsinki, Finland","Monessen, Pennsylvania, US"
144,0.0,3,male,19.0,C23 C25 C27,"Glanmire, Cork, Ireland","Charlestown, US"
145,0.0,2,male,18.0,C23 C25 C27,"San Ambrosio, Córdoba, Argentina","Trenton, New Jersey, US"
146,0.0,2,male,19.0,C23 C25 C27,"St. Ives, Cornwall, England","Houghton, Michigan, US"
147,1.0,3,male,27.0,C23 C25 C27,"Malmö, Skåne, Sweden","Chicago, Illinois, US"
148,0.0,3,female,9.0,C23 C25 C27,"Rotherfield, East Sussex, England","Essex County, New Jersey, US"
149,0.0,2,male,36.5,F2,"Nice, France",New York City
150,0.0,2,male,42.0,C23 C25 C27,"London, England","Jacksonville, Florida, US"
151,0.0,2,male,51.0,C23 C25 C27,"Jacksonville, Florida, US","Jacksonville, Florida, US"
152,1.0,1,female,22.0,C2,"Isleworth, London, England, UK","New York, New York, US"
153,0.0,3,male,55.5,C23 C25 C27,"Bournemouth, Dorset, England","Washington, DC, US"
154,0.0,3,male,40.5,C23 C25 C27,"London, England","North Wales, Pennsylvania, US"
155,0.0,3,male,28.0,C23 C25 C27,"Sunnhordland, Norway","Broderick, Canada"
156,0.0,1,male,51.0,C23 C25 C27,"Geneva, Switzerland","Radnor, Pennsylvania, US"
157,1.0,3,female,16.0,C23 C25 C27,"Esker, Longford, Ireland",New York City
158,0.0,3,male,30.0,C23 C25 C27,"London, England",New York City
159,0.0,3,male,28.0,C23 C25 C27,"Pisac, Croatia",New York City
160,0.0,3,male,28.0,C23 C25 C27,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US"
161,0.0,3,male,44.0,C23 C25 C27,"Bournemouth, Dorset, England","Newark, New Jersey, US"
162,1.0,2,female,40.0,C23 C25 C27,"Aberdeen, Aberdeenshire, Scotland","Portland, Oregon, US"
163,0.0,3,male,26.0,C23 C25 C27,"Fridhemsberg, Halland, Sweden","Monee, Illinois, US"
164,0.0,3,male,17.0,C23 C25 C27,"Brezik, Croatia","Sault Ste. Marie, Michigan, US"
165,0.0,3,male,1.0,C23 C25 C27,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US"
166,1.0,3,male,9.0,C23 C25 C27,"Strood, Kent, England","Detroit, Michigan, US"
167,1.0,1,female,28.0,E33,"St Leonards-on-Sea, East Sussex, England, UK","New York, New York, US"
168,0.0,3,female,45.0,C23 C25 C27,"Hällekis, Västergötland, Sweden","Iron Mountain, Michigan, US"
169,0.0,1,male,28.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
170,0.0,3,male,28.0,C23 C25 C27,"Hong Kong, China",New York City
171,0.0,1,male,61.0,B19,"Brooklyn, New York, US","Brooklyn, New York, US"
172,0.0,3,male,4.0,C23 C25 C27,"Athlone, Westmeath, Ireland","Spokane, Washington, US"
173,1.0,3,female,1.0,C23 C25 C27,"St. Charles, Illinois, US","St. Charles, Illinois, US"
174,0.0,3,male,21.0,C23 C25 C27,"Mountain Home, Idaho, US","Mountain Home, Idaho, US"
175,0.0,1,male,56.0,A7,"Paris, France","Long Island, New York, US"
176,0.0,3,male,18.0,C23 C25 C27,"Grimshut, Småland, Sweden",New York City
177,0.0,3,male,28.0,C23 C25 C27,"Liévin, Pas-de-Calais, France","Mystic, Iowa, US"
178,0.0,1,female,50.0,C49,"Chicago, Illinois, US","Chicago, Illinois, US"
179,0.0,2,male,30.0,C23 C25 C27,"Auburn, New York, US","Auburn, New York, US"
180,0.0,3,male,36.0,C23 C25 C27,"New York City, New York, US",New York City
181,0.0,3,female,28.0,C23 C25 C27,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US"
182,0.0,2,male,28.0,C23 C25 C27,"Paris, France","New York, New York, US"
183,0.0,3,male,9.0,C23 C25 C27,"Alseda, Småland, Sweden","Worcester, Massachusetts, US"
184,1.0,2,male,1.0,F4,"Guntur, Madras Province, British India","Benton Harbor, Michigan, US"
185,1.0,3,female,4.0,C23 C25 C27,"Zürich, Switzerland","Milwaukee, Wisconsin, US"
186,0.0,1,male,28.0,A32,"Seattle, Washington, US","Seattle, Washington, US"
187,1.0,3,female,28.0,C23 C25 C27,"Pallasgreen, Limerick, Ireland",New York City
188,1.0,1,male,45.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
189,0.0,3,male,40.0,C23 C25 C27,"Carrowskehine, Mayo, Ireland","Chicago, Illinois, US"
190,0.0,3,male,36.0,C23 C25 C27,"Bratina, Croatia","Youngstown, Ohio, US"
191,1.0,2,female,32.0,C23 C25 C27,"Brooklyn, New York, US","Brooklyn, New York, US"
192,0.0,2,male,19.0,C23 C25 C27,"St. Ives, Cornwall, England","Houghton, Michigan, US"
193,1.0,3,female,19.0,C23 C25 C27,"Eskilstrup, Denmark","Portland, Oregon, US"
194,1.0,2,male,3.0,F2,"Nice, France",New York City
195,1.0,1,female,44.0,B4,"Denver, Colorado, US","Denver, Colorado, US"
196,1.0,1,female,58.0,B80,"New York, New York, US","New York, New York, US"
197,0.0,3,male,28.0,C23 C25 C27,"Ballywilliam, Wexford, Ireland","Chicago, Illinois, US"
198,0.0,3,male,42.0,C23 C25 C27,"Trondheim, Norway","Brooklyn, New York, US"
199,1.0,3,female,28.0,C23 C25 C27,"Askeaton, Limerick, Ireland",New York City
200,0.0,2,female,24.0,C23 C25 C27,"Paris, France","Montreal, Quebec, Canada"
201,0.0,3,male,28.0,C23 C25 C27,"Westrozebeke, Belgium",New York City
202,0.0,3,male,28.0,C23 C25 C27,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US"
203,0.0,3,male,34.0,C23 C25 C27,"Munsala, Finland","Vancouver, British Columbia, Canada"
204,0.0,3,male,45.5,C23 C25 C27,"Hardîne, Lebanon","Wilkes-Barre, Pennsylvania, US"
205,1.0,3,male,18.0,C23 C25 C27,"London, England","Brooklyn, New York, US"
206,0.0,3,female,2.0,G6,"Indiana Harbor, Indiana, US","Indiana Harbor, Indiana, US"
207,0.0,3,male,32.0,C23 C25 C27,"Kotka, Finland",New York City
208,1.0,3,male,26.0,C23 C25 C27,"Fredericksburg, Virginia, US","Fredericksburg, Virginia, US"
209,1.0,3,female,16.0,C23 C25 C27,"Corglass, Longford, Ireland",New York City
210,1.0,1,male,40.0,A31,"Glen Ridge, New Jersey, US","Glen Ridge, New Jersey, US"
211,0.0,3,male,24.0,C23 C25 C27,"Buenos Aires, Argentina",New York City
212,1.0,2,female,35.0,C23 C25 C27,"London, England, UK","Mamaronek, New York, US"
213,0.0,3,male,22.0,C23 C25 C27,"Holsworthy, Devon, England","Saskatoon, Saskatchewan, Canada"
214,0.0,2,male,30.0,C23 C25 C27,"Kølsen, Vorde Sogn, Denmark","San Francisco, California, US"
215,0.0,3,male,28.0,C23 C25 C27,"Aughnacliffe, Longford, Ireland","Jersey City, New Jersey, US"
216,1.0,1,female,31.0,D36,"Lexington, Massachusetts, US","Lexington, Massachusetts, US"
217,1.0,3,female,27.0,C23 C25 C27,"Saarijärvi, Finland",New York City
218,0.0,2,male,42.0,C23 C25 C27,"London, England","Montreal, Quebec, Canada"
219,1.0,1,female,32.0,D15,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US"
220,0.0,2,male,30.0,C23 C25 C27,"London, England",New York City
221,1.0,3,male,16.0,C23 C25 C27,"London, England","Cleveland, Ohio, US"
222,0.0,2,male,27.0,C23 C25 C27,"Lake Arthur, New Mexico, US","Lake Arthur, New Mexico, US"
223,0.0,3,male,51.0,C23 C25 C27,"Dorking, Surrey, England","Lead, South Dakota, US"
224,0.0,3,male,28.0,C23 C25 C27,"Unknown, Bulgaria","Coon Rapids, Iowa, US"
225,1.0,1,male,38.0,C93,"New York, New York, US","Stamford, Connecticut, US"
226,0.0,3,male,22.0,C23 C25 C27,"Firtby, Finland",New York City
227,1.0,2,male,19.0,C23 C25 C27,"Chelsea, London, England","Long Island, New York, US"
228,0.0,3,male,20.5,C23 C25 C27,"Northlew, Devon, England",New York City
229,0.0,2,male,18.0,C23 C25 C27,"Oslo, Norway","Bayonne, New Jersey, US"
230,0.0,3,female,28.0,C23 C25 C27,"Liévin, Pas-de-Calais, France","Mystic, Iowa, US"
231,1.0,1,female,35.0,C83,"New York, New York, US","New York, New York, US"
232,0.0,3,male,29.0,C23 C25 C27,"Nyköping, Södermanland, Sweden","Hartford, Connecticut, US"
233,0.0,2,male,59.0,C23 C25 C27,"Hjo, Västergötland, Sweden","Sault Ste Marie, Michigan, US"
234,1.0,3,female,5.0,C23 C25 C27,"Alseda, Småland, Sweden","Worcester, Massachusetts, US"
235,0.0,2,male,24.0,C23 C25 C27,"London, England",New York City
236,0.0,3,female,28.0,C23 C25 C27,"Thornton Heath, London, England","New London, Connecticut, US"
237,0.0,2,male,44.0,C23 C25 C27,"Porthoustock, Cornwall, England","Sacramento, California, US"
238,1.0,2,female,8.0,C23 C25 C27,"Bishopstoke, Hampshire, England","Payette, Idaho, US"
239,0.0,2,male,19.0,C23 C25 C27,"Gunnislake, Cornwall, England","Butte, Montana, US"
240,0.0,2,male,33.0,C23 C25 C27,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US"
241,0.0,3,female,28.0,C23 C25 C27,"Unknown, Syria",New York City
242,1.0,3,female,28.0,C23 C25 C27,"Aghnacliffe, Longford, Ireland","Philadelphia, Pennsylvania, US"
243,0.0,2,male,29.0,C23 C25 C27,"London, England","Detroit, Michigan, US"
244,0.0,3,male,22.0,C23 C25 C27,"Kauhajoki, Finland","Sudbury, Ontario, Canada"
245,0.0,3,male,30.0,C23 C25 C27,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada"
246,0.0,1,male,44.0,C78,"Fond du Lac, Wisconsin, US","Fond du Lac, Wisconsin, US"
247,0.0,3,female,25.0,C23 C25 C27,"Stockholm, Sweden","Saranac Lake, New York, US"
248,1.0,2,female,24.0,C23 C25 C27,"Detroit, Michigan, US","Detroit, Michigan, US"
249,1.0,1,male,37.0,D35,"New York, New York, US","New York, New York, US"
250,0.0,2,male,54.0,C23 C25 C27,"London, England, UK",New York City
251,0.0,3,male,28.0,C23 C25 C27,"Penarth, Glamorgan, Wales",New York City
252,0.0,3,female,29.0,G6,"Indiana Harbor, Indiana, US","Indiana Harbor, Indiana, US"
253,0.0,1,male,62.0,C87,"London, England, UK","New York, New York, US"
254,0.0,3,male,30.0,C23 C25 C27,"Scranton, Pennsylvania, US","Scranton, Pennsylvania, US"
255,0.0,3,female,41.0,C23 C25 C27,"Suistamo, Finland","Astoria, Oregon, US"
256,1.0,3,female,29.0,C23 C25 C27,"Tibnin, Lebanon","Dowagiac, Michigan, US"
257,1.0,1,female,28.0,C23 C25 C27,"New York, New York, US","New York, New York, US"
258,1.0,1,female,30.0,B77,"London, England, UK","Vancouver, British Columbia, Canada"
259,1.0,1,female,35.0,C23 C25 C27,"Germantown, Pennsylvania, US","Germantown, Pennsylvania, US"
260,1.0,2,female,50.0,C23 C25 C27,"Woodford County, Kentucky, US","Woodford County, Kentucky, US"
261,0.0,3,male,28.0,C23 C25 C27,"Caltra, Galway, Ireland","Hammond, Indiana, US"
262,1.0,3,male,3.0,C23 C25 C27,"Alseda, Småland, Sweden","Worcester, Massachusetts, US"
263,0.0,1,male,52.0,E67,"New York, New York, US","New York, New York, US"
264,0.0,1,male,40.0,B94,"Wallasey, Merseyside, England, UK","New York, New York, US"
265,0.0,3,female,28.0,C23 C25 C27,"Clonown, Roscommon, Ireland","Boston, Massachusetts, US"
266,0.0,2,male,36.0,C23 C25 C27,"Slinfold, West Sussex, England",New York City
267,0.0,3,male,16.0,C23 C25 C27,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US"
268,1.0,3,male,25.0,C23 C25 C27,"Stockholm, Uppland, Sweden","Indianapolis, Indiana, US"
269,1.0,1,female,58.0,C125,"Greenwich, Connecticut, US","Greenwich, Connecticut, US"
270,1.0,1,female,35.0,C99,"New York, New York, US","New York, New York, US"
271,0.0,1,male,28.0,C23 C25 C27,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US"
272,1.0,3,male,25.0,C23 C25 C27,"Sundbyberg, Sweden",New York City
273,1.0,2,female,41.0,C23 C25 C27,"Wimbledon, London, England","Bennington, Vermont, US"
274,0.0,1,male,37.0,C118,"Brooklyn, New York, US","Brooklyn, New York, US"
275,1.0,3,female,28.0,C23 C25 C27,"Athenry, Galway, Ireland",New York City
276,1.0,1,female,63.0,D7,"Hudson, New York, US","Hudson, New York, US"
277,0.0,3,female,45.0,C23 C25 C27,"Stockholm, Sweden","Stratford, Connecticut, US"
278,0.0,2,male,28.0,C23 C25 C27,"Belfast, Ireland",New York City
279,0.0,3,male,7.0,C23 C25 C27,"Athlone, Westmeath, Ireland","Spokane, Washington, US"
280,1.0,3,female,35.0,C23 C25 C27,"East Providence, Rhode Island, US","East Providence, Rhode Island, US"
281,0.0,3,male,65.0,C23 C25 C27,"Bunmahon, Waterford, Ireland","Morris Plains, New Jersey, US"
282,0.0,3,male,28.0,C23 C25 C27,"Eslöv, Skåne, Sweden",New York City
283,0.0,3,male,16.0,C23 C25 C27,"Heldergem, Haaltert, East Flanders, Belgium","Gladstone, Michigan, US"
284,1.0,3,male,19.0,C23 C25 C27,"Liss, Hampshire, England","Oglesby, Illinois, US"
285,0.0,1,male,28.0,A19,"Streatham, London, England, UK","New York, New York, US"
286,0.0,3,male,33.0,C23 C25 C27,"Galdovo, Croatia",New York City
287,1.0,3,male,30.0,C23 C25 C27,"Aspelare, East Flanders, Belgium","Detroit, Michigan, US"
288,0.0,3,male,22.0,C23 C25 C27,"Gumostnik, Lovech, Bulgaria","Chicago, Illinois, US"
289,1.0,2,male,42.0,C23 C25 C27,"Tokyo, Japan","Tokyo, Japan"
290,1.0,3,female,22.0,C23 C25 C27,"Cortrasna, Cavan, Ireland",New York City
291,1.0,1,female,26.0,C23 C25 C27,"London, England, UK","New York, New York, US"
292,1.0,1,female,19.0,B49,"Dowagiac, Michigan, US","Dowagiac, Michigan, US"
293,0.0,2,male,36.0,D,"Montreal, Quebec, Canada","Montreal, Quebec, Canada"
